Date,Close,Portfolio Value
2024-06-04,410.9059143066406,10000.0
2024-06-05,439.4798278808594,10000.0
2024-06-06,467.056396484375,10000.0
2024-06-07,477.52850341796875,10000.0
2024-06-10,472.0929870605469,10000.0
2024-06-11,473.14019775390625,10000.0
2024-06-12,470.8463134765625,10000.0
2024-06-13,461.2219543457031,10000.0
2024-06-14,460.5238037109375,10000.0
2024-06-18,472.74127197265625,10000.0
2024-06-19,467.65478515625,10000.0
2024-06-20,471.0457763671875,10000.0
2024-06-21,489.3470458984375,10000.0
2024-06-24,486.3051452636719,10000.0
2024-06-25,486.5046081542969,10000.0
2024-06-26,500.86639404296875,10000.0
2024-06-27,497.3258056640625,10000.0
2024-06-28,491.4913330078125,10000.0
2024-07-01,493.33642578125,10000.0
2024-07-02,489.8955993652344,10000.0
2024-07-03,498.8717041015625,10000.0
2024-07-04,513.0339965820312,10000.0
2024-07-05,524.6031494140625,10000.0
2024-07-08,517.2227783203125,10000.0
2024-07-09,520.0652465820312,10000.0
2024-07-10,516.923583984375,10000.0
2024-07-11,513.3331909179688,10000.0
2024-07-12,512.9840698242188,10000.0
2024-07-15,518.7687377929688,10000.0
2024-07-16,519.466796875,10000.0
2024-07-18,517.6217651367188,10000.0
2024-07-19,501.66424560546875,10000.0
2024-07-22,516.4249267578125,10000.0
2024-07-23,525.3511962890625,10000.0
2024-07-24,536.5214233398438,10000.0
2024-07-25,549.4370727539062,10000.0
2024-07-26,561.6046142578125,10000.0
2024-07-29,563.3499755859375,10000.0
2024-07-30,588.9500122070312,10000.0
2024-07-31,630.0999755859375,10000.0
2024-08-01,631.5,10000.0
2024-08-02,646.0999755859375,10000.0
2024-08-05,641.7000122070312,10000.0
2024-08-06,649.0,10000.0
2024-08-07,656.7999877929688,10000.0
2024-08-08,652.8499755859375,10000.0
2024-08-09,658.75,10000.0
2024-08-12,689.0999755859375,10000.0
2024-08-13,676.4500122070312,10000.0
2024-08-14,669.2999877929688,10000.0
2024-08-16,662.3499755859375,10000.0
2024-08-19,663.5999755859375,10000.0
2024-08-20,675.4500122070312,10000.0
2024-08-21,694.5999755859375,10000.0
2024-08-22,685.2000122070312,10000.0
2024-08-23,683.6500244140625,10000.0
2024-08-26,683.25,10000.0
2024-08-27,674.1500244140625,10000.0
2024-08-28,706.4500122070312,10000.0
2024-08-29,703.8499755859375,10000.0
2024-08-30,718.0999755859375,10000.0
2024-09-02,683.8499755859375,10000.0
2024-09-03,684.7000122070312,10000.0
